Designator,Mid X,Mid Y,Layer,Rotation
C315,202.649094,-100.115001,bottom,90.000000
C316,200.157723,-97.550001,bottom,-90.000000
C319,200.157723,-100.115001,bottom,-90.000000
C320,201.549094,-100.115001,bottom,90.000000
C321,204.149094,-100.515001,bottom,0.000000
C322,202.049094,-96.015001,bottom,-90.000000
C324,195.124094,-102.915001,bottom,180.000000
C325,198.249094,-102.315001,bottom,-90.000000
C326,195.124094,-101.015001,bottom,180.000000
C329,195.124094,-99.015001,bottom,180.000000
C330,195.124094,-97.115001,bottom,180.000000
D201,41.395908,-120.253818,bottom,90.000000
R201,143.595908,-144.900000,bottom,0.000000
R203,38.495908,-126.800000,bottom,180.000000
C201,54.395908,-62.500000,top,90.000000
C202,55.594256,-135.650697,top,-90.000000
C203,57.395908,-51.400000,top,-90.000000
C204,98.595908,-63.600000,top,90.000000
C205,157.995908,-85.400000,top,-90.000000
C206,90.995908,-119.400000,top,-90.000000
C207,65.095908,-131.600000,top,90.000000
C208,90.895908,-51.400000,top,-90.000000
C209,65.095908,-63.600000,top,90.000000
C210,132.095908,-97.600000,top,90.000000
C211,124.495908,-119.400000,top,-90.000000
C212,57.495908,-153.400000,top,-90.000000
C213,124.495908,-51.400000,top,-90.000000
C214,57.495908,-85.400000,top,-90.000000
C215,98.595908,-97.600000,top,90.000000
C216,157.995908,-119.400000,top,-90.000000
C217,90.995908,-153.400000,top,-90.000000
C218,157.995908,-51.400000,top,-90.000000
C219,90.995908,-85.400000,top,-90.000000
C220,65.095908,-97.600000,top,90.000000
C221,132.095908,-131.600000,top,90.000000
C222,124.495908,-153.400000,top,-90.000000
C223,132.095908,-63.600000,top,90.000000
C224,124.495908,-85.400000,top,-90.000000
C225,57.495908,-119.400000,top,-90.000000
C226,98.595908,-131.700000,top,90.000000
C227,155.070718,-154.777491,top,180.000000
C301,220.657723,-87.250001,top,180.000000
C302,233.574094,-91.140001,top,0.000000
C303,233.674094,-105.740001,top,90.000000
C304,234.074094,-100.240001,top,90.000000
C305,237.889094,-100.240001,top,90.000000
C306,233.574094,-88.140001,top,0.000000
C307,235.974094,-105.740001,top,90.000000
C308,238.474094,-89.640001,top,-90.000000
C309,235.974094,-95.940001,top,-90.000000
C310,207.949094,-97.115001,top,0.000000
C311,206.549094,-92.365001,top,0.000000
C312,208.357723,-100.715001,top,0.000000
C313,206.388123,-86.725588,top,180.000000
C314,203.749094,-104.915001,top,-90.000000
C317,202.149094,-92.915001,top,90.000000
C318,199.549094,-102.915001,top,0.000000
C323,204.849094,-110.815001,top,180.000000
C327,193.174094,-86.692127,top,-90.000000
C328,221.343977,-97.384805,top,-90.000000
D202,94.789658,-77.800000,top,0.000000
D203,52.895908,-49.000000,top,0.000000
D204,103.145908,-66.000000,top,180.000000
D205,153.395908,-83.000000,top,0.000000
D206,86.395908,-117.000000,top,0.000000
D207,69.645908,-134.000000,top,180.000000
D208,86.395908,-49.000000,top,0.000000
D209,69.645908,-66.000000,top,180.000000
D210,136.645908,-100.000000,top,180.000000
D211,119.895908,-117.000000,top,0.000000
D212,52.895908,-151.000000,top,0.000000
D213,119.895908,-49.000000,top,0.000000
D214,52.895908,-83.000000,top,0.000000
D215,103.145908,-100.000000,top,180.000000
D216,153.395908,-117.000000,top,0.000000
D217,86.395908,-151.000000,top,0.000000
D218,153.395908,-49.000000,top,0.000000
D219,86.395908,-83.000000,top,0.000000
D220,69.645908,-100.000000,top,180.000000
D221,136.645908,-134.000000,top,180.000000
D222,119.895908,-151.000000,top,0.000000
D223,136.645908,-66.000000,top,180.000000
D224,119.895908,-83.000000,top,0.000000
D225,52.895908,-117.000000,top,0.000000
D226,103.145908,-134.000000,top,180.000000
D227,153.395908,-151.000000,top,0.000000
D303,191.174094,-89.740001,top,180.000000
R202,53.295908,-135.600000,top,-90.000000
R204,94.789658,-75.500000,top,0.000000
R301,221.428007,-83.456177,top,0.000000
R302,203.049094,-89.365001,top,-90.000000
R303,197.784094,-125.490001,top,90.000000
R304,212.384094,-125.190001,top,90.000000
R305,200.524094,-105.115001,top,90.000000
R306,202.349094,-105.115001,top,-90.000000
R307,200.149094,-92.215001,top,-90.000000
R308,198.749094,-105.115001,top,90.000000
R309,212.799094,-112.740001,top,0.000000
R310,216.099094,-112.740001,top,180.000000
R311,195.124094,-102.915001,top,180.000000
R312,195.124094,-101.015001,top,180.000000
R313,189.774094,-86.640001,top,90.000000
R314,191.474094,-86.640001,top,-90.000000
R315,195.124094,-99.015001,top,180.000000
R316,195.124094,-97.115001,top,180.000000
SW301,204.674094,-113.940001,top,180.000000
U301,220.657723,-90.150001,top,0.000000
U302,235.974094,-112.540001,top,-90.000000
U303,235.724094,-83.040001,top,0.000000
U304,235.974094,-99.040001,top,0.000000
U305,205.084094,-120.990001,top,90.000000
U306,202.649094,-98.115001,top,180.000000
U307,211.649094,-108.915001,top,180.000000
U308,216.649094,-98.515001,top,0.000000
X301,206.049094,-89.615001,top,0.000000
