Qty_per_board,Refs,Value,MPN,DigiKey_PN,DNP
2,C1 C2,100nF X7R 50V,C0805F104K1RACAUTO,399-C0805F104K1RACAUTOCT-ND,
1,D1,STATUS,150080BS75000,732-4982-1-ND,
9,D2 D3 D4 D5 D6 D7 D8 D9 D10,TVS 5V,SMAJ5.0A,SMAJ5.0ALFCT-ND,
1,J1,RS-485 OUT,0436500300,WM1861-ND,
1,J2,INT IN 0-8,0395316009,WM25993-ND,
1,J4,UNDERGLOW OUT,MRR522-5.08-V,5245-MRR522-5.08-V-ND,
1,R1,120R,RC0805FR-07120RL,311-120CRCT-ND,
1,R2,1k,CRCW08051K00FKEA,541-1.00KCCT-ND,
1,R3,330R,RC0805FR-07330RL,311-330CRCT-ND,
2,R4 R5,390R 1%,,,DNP
1,RN1,10k x9,4610M-101-103LF,4610M-101-103LF-ND,
1,SW1,PLAYER_ID,DS01C-254-S-03BE,2223-DS01C-254-S-03BE-ND,
1,U1,Teensy 4.0,15583,1568-15583-ND,
1,U2,THVD1429,THVD1429DR,296-THVD1429DRCT-ND,
1,U3,SN74AHCT125,SN74AHCT125N,296-4655-5-ND,
